pool_id,x_id,x_ticker,y_id,y_ticker
03b45ce062567751507493a9006ba0965c916a15c6232a577700d977e360d897,ef802b475c06189fdbf844153cdc1d449a5ba87cce13d11bb47b5a539f27f12b,WT_ERG,30974274078845f263b4f21787e33cc99e9ec19a17ad85a5bc6da2cca91c5a2e,WT_ADA
0441515ec45be772e1fc82ed5b31551652cba3b3041db69fadfc61e92ede48cc,ef802b475c06189fdbf844153cdc1d449a5ba87cce13d11bb47b5a539f27f12b,WT_ERG,30974274078845f263b4f21787e33cc99e9ec19a17ad85a5bc6da2cca91c5a2e,WT_ADA
080e453271ff4d2f85f97569b09755e67537bf2a1bc1cd09411b459cf901b902,03faf2cb329f2e90d6d23b58d91bbb6c046aa143261cc21f52fbe2824bfcbf04,SigUSD,003bd19d0187117f130b62e1bcab0939929ff5c7709f843c5c4dd158949285d0,SigRSV
0acf45b352eff80875eccf99bfb87325b6125df2349c7cd7d8a2450e1d951775,ac992a1ca8494be17a29c79c9bc7f2aeacf75cf3826d62f95cc921cf463c3f35,💩,185e217d80d797800bfa699afda708ee101ae664f8ea237d9fc3a3824b7c3ecb,🍆💦
0e7ae6bcddac78ec42e218775e3dc2e87226cb09692d23242b4e13e435a4b588,0cd8c9f416e5b1ca9f986a7f10a84191dfb85941619e49e53c0dc30ebf83324b,COMET,0779ec04f2fae64e87418a1ad917639d4668f78484f45df962b0dec14a2591d2,Mi Goreng
1083afadd5dafd4c9628f0936a6e127991a5ddfc7239d00ac275ef5e951f5229,ef802b475c06189fdbf844153cdc1d449a5ba87cce13d11bb47b5a539f27f12b,WT_ERG,30974274078845f263b4f21787e33cc99e9ec19a17ad85a5bc6da2cca91c5a2e,WT_ADA
10cc76db30a0a6bcdb7a3c27221c4b6a7ef7a05ab43bee9fe5e76aafac40126c,0,ERG,f09592614cbc1ef0cabbff181335dda319b763796f9bc3a10cbf65674f3adc6d,CannaToken
12ca8dc239c2a295e31569f99a4df7658441f69ff411385cd121013a4991b2a6,472c3d4ecaa08fb7392ff041ee2e6af75f4a558810a74b28600549d5392810e8,NETA,185e217d80d797800bfa699afda708ee101ae664f8ea237d9fc3a3824b7c3ecb,🍆💦
13f31cd8ee3988e539dfcb40790b3e820e4cd85c9a74fcaade126225c9713bc9,0,ERG,29b1e89e1c545f81a8f78b14041ffc100c41fe70b25d321a5ecf74b5358aae53,ErgoDEX Token Part 2
1d5afc59838920bb5ef2a8f9d63825a55b1d48e269d7cecee335d637c3ff5f3f,0,ERG,003bd19d0187117f130b62e1bcab0939929ff5c7709f843c5c4dd158949285d0,SigRSV
